date,channel,spend,clicks,impressions
2025-01-01,Meta Ads,756.99,1506,33219
2025-01-01,Google Ads,576.21,678,23217
2025-01-01,TikTok Ads,202.5,560,13646
2025-01-02,Meta Ads,1189.82,2896,101013
2025-01-02,Google Ads,378.43,575,13761
2025-01-02,TikTok Ads,180.85,702,16544
2025-01-03,Meta Ads,1105.72,2641,77439
2025-01-03,Google Ads,634.27,789,22722
2025-01-03,TikTok Ads,269.29,542,18874
2025-01-04,Meta Ads,870.33,1936,64817
2025-01-04,Google Ads,325.22,552,10265
2025-01-04,TikTok Ads,245.6,748,24077
2025-01-05,Meta Ads,456.46,703,19393
2025-01-05,Google Ads,424.04,421,11961
2025-01-05,TikTok Ads,334.13,1310,42827
2025-01-06,Meta Ads,855.85,1191,22999
2025-01-06,Google Ads,337.87,565,15036
2025-01-06,TikTok Ads,420.82,1584,35522
2025-01-07,Meta Ads,638.05,1363,24530
2025-01-07,Google Ads,683.9,1175,26953
2025-01-07,TikTok Ads,392.63,877,20094
2025-01-08,Meta Ads,451.67,621,17672
2025-01-08,Google Ads,404.49,439,11414
2025-01-08,TikTok Ads,362.85,1322,41208
2025-01-09,Meta Ads,887.75,1408,28779
2025-01-09,Google Ads,415.7,662,16185
2025-01-09,TikTok Ads,418.91,887,25702
2025-01-10,Meta Ads,932.12,1504,44131
2025-01-10,Google Ads,410.84,408,9411
2025-01-10,TikTok Ads,200.63,470,15289
2025-01-11,Meta Ads,874.99,1186,39574
2025-01-11,Google Ads,274.55,408,10436
2025-01-11,TikTok Ads,291.56,892,13590
2025-01-12,Meta Ads,528.47,1027,18679
2025-01-12,Google Ads,680.27,975,27347
2025-01-12,TikTok Ads,184.75,623,21024
2025-01-13,Meta Ads,976.35,2323,59297
2025-01-13,Google Ads,407.03,618,12095
2025-01-13,TikTok Ads,220.23,858,13495
2025-01-14,Meta Ads,534.52,1214,37375
2025-01-14,Google Ads,327.42,553,13305
2025-01-14,TikTok Ads,409.29,1225,41027
2025-01-15,Meta Ads,429.66,977,27138
2025-01-15,Google Ads,293.95,333,5655
2025-01-15,TikTok Ads,241.2,508,12212
2025-01-16,Meta Ads,1046.43,2466,57261
2025-01-16,Google Ads,337.77,401,10668
2025-01-16,TikTok Ads,372.84,921,27008
2025-01-17,Meta Ads,424.22,1018,28203
2025-01-17,Google Ads,283.46,271,4819
2025-01-17,TikTok Ads,207.21,477,14397
2025-01-18,Meta Ads,762.85,1781,50068
2025-01-18,Google Ads,393.4,403,7190
2025-01-18,TikTok Ads,415.78,1445,40973
2025-01-19,Meta Ads,836.92,1056,30089
2025-01-19,Google Ads,644.57,659,15185
2025-01-19,TikTok Ads,373.64,753,15268
2025-01-20,Meta Ads,966.41,2307,59406
2025-01-20,Google Ads,603.79,542,18152
2025-01-20,TikTok Ads,346.37,845,19224
2025-01-21,Meta Ads,462.13,760,24925
2025-01-21,Google Ads,391.14,700,13040
2025-01-21,TikTok Ads,346.94,732,21996
2025-01-22,Meta Ads,766.99,1768,40753
2025-01-22,Google Ads,536.18,808,19117
2025-01-22,TikTok Ads,303.56,1052,28720
2025-01-23,Meta Ads,1122.48,2147,58078
2025-01-23,Google Ads,570.76,672,17939
2025-01-23,TikTok Ads,389.97,1551,52763
2025-01-24,Meta Ads,594.33,1099,32872
2025-01-24,Google Ads,452.53,642,21833
2025-01-24,TikTok Ads,173.58,501,8595
2025-01-25,Meta Ads,724.66,1735,55784
2025-01-25,Google Ads,470.53,475,16529
2025-01-25,TikTok Ads,176.35,455,10164
2025-01-26,Meta Ads,590.99,1150,18178
2025-01-26,Google Ads,578.47,1027,31357
2025-01-26,TikTok Ads,311.98,1026,30501
2025-01-27,Meta Ads,732.52,1675,36453
2025-01-27,Google Ads,325.47,517,9271
2025-01-27,TikTok Ads,379.05,1131,27195
2025-01-28,Meta Ads,1023.94,2548,52644
2025-01-28,Google Ads,546.49,833,24083
2025-01-28,TikTok Ads,164.91,491,14899
2025-01-29,Meta Ads,1145.9,1510,38092
2025-01-29,Google Ads,578.19,585,14036
2025-01-29,TikTok Ads,376.15,1475,49959
2025-01-30,Meta Ads,440.62,868,21217
2025-01-30,Google Ads,581.1,815,17058
2025-01-30,TikTok Ads,284.97,603,19717
2025-01-31,Meta Ads,1020.28,2143,67791
2025-01-31,Google Ads,566.9,871,23598
2025-01-31,TikTok Ads,193.57,700,17865
2025-02-01,Meta Ads,730.93,1708,52504
2025-02-01,Google Ads,407.52,670,18887
2025-02-01,TikTok Ads,327.15,905,28991
2025-02-02,Meta Ads,974.52,1814,31072
2025-02-02,Google Ads,458.71,475,11084
2025-02-02,TikTok Ads,415.8,890,28187
2025-02-03,Meta Ads,503.74,929,27069
2025-02-03,Google Ads,635.05,1023,18407
2025-02-03,TikTok Ads,233.47,793,24728
2025-02-04,Meta Ads,452.56,575,15838
2025-02-04,Google Ads,549.99,528,11977
2025-02-04,TikTok Ads,293.04,804,20344
2025-02-05,Meta Ads,490.8,1187,28691
2025-02-05,Google Ads,385.59,479,8138
2025-02-05,TikTok Ads,302.43,893,19516
2025-02-06,Meta Ads,618.87,1174,31685
2025-02-06,Google Ads,309.82,372,11070
2025-02-06,TikTok Ads,407.86,1519,47904
2025-02-07,Meta Ads,546.84,1099,26508
2025-02-07,Google Ads,472.6,844,22417
2025-02-07,TikTok Ads,288.77,742,16340
2025-02-08,Meta Ads,604.61,1444,50219
2025-02-08,Google Ads,308.86,500,10397
2025-02-08,TikTok Ads,151.85,544,18062
2025-02-09,Meta Ads,846.64,1147,19330
2025-02-09,Google Ads,538.92,954,27931
2025-02-09,TikTok Ads,392.43,1145,20692
2025-02-10,Meta Ads,605.83,1011,15773
2025-02-10,Google Ads,389.23,430,7520
2025-02-10,TikTok Ads,447.13,1184,28876
2025-02-11,Meta Ads,403.98,1006,23271
2025-02-11,Google Ads,497.76,565,16092
2025-02-11,TikTok Ads,277.21,956,19259
2025-02-12,Meta Ads,768.05,1850,30886
2025-02-12,Google Ads,620.42,499,15103
2025-02-12,TikTok Ads,345.1,1018,19068
2025-02-13,Meta Ads,657.83,1100,24112
2025-02-13,Google Ads,482.88,811,27562
2025-02-13,TikTok Ads,239.91,551,18203
2025-02-14,Meta Ads,694.93,1135,18793
2025-02-14,Google Ads,390.26,424,14606
2025-02-14,TikTok Ads,440.01,970,23587
2025-02-15,Meta Ads,407.55,529,15955
2025-02-15,Google Ads,620.15,855,16597
2025-02-15,TikTok Ads,195.88,482,12413
2025-02-16,Meta Ads,811.52,1496,32037
2025-02-16,Google Ads,270.08,351,12014
2025-02-16,TikTok Ads,254.29,701,21718
2025-02-17,Meta Ads,505.51,976,34086
2025-02-17,Google Ads,267.97,431,7438
2025-02-17,TikTok Ads,320.87,1118,19660
2025-02-18,Meta Ads,403.05,521,15698
2025-02-18,Google Ads,400.95,580,12845
2025-02-18,TikTok Ads,379.35,1215,35230
2025-02-19,Meta Ads,472.61,1036,16913
2025-02-19,Google Ads,585.98,782,18142
2025-02-19,TikTok Ads,254.17,829,13868
2025-02-20,Meta Ads,814.16,1594,43960
2025-02-20,Google Ads,316.99,457,7207
2025-02-20,TikTok Ads,314.29,784,24245
2025-02-21,Meta Ads,636.52,1406,29903
2025-02-21,Google Ads,408.16,660,16122
2025-02-21,TikTok Ads,338.29,1221,28802
2025-02-22,Meta Ads,1171.0,1910,32406
2025-02-22,Google Ads,516.55,451,12440
2025-02-22,TikTok Ads,224.45,590,13161
2025-02-23,Meta Ads,771.11,1058,22942
2025-02-23,Google Ads,678.88,811,21496
2025-02-23,TikTok Ads,413.54,1317,36956
2025-02-24,Meta Ads,785.13,1421,26730
2025-02-24,Google Ads,672.79,1163,23830
2025-02-24,TikTok Ads,376.12,1045,28197
2025-02-25,Meta Ads,516.51,958,14800
2025-02-25,Google Ads,689.58,803,24334
2025-02-25,TikTok Ads,195.16,438,14646
2025-02-26,Meta Ads,455.45,1098,26789
2025-02-26,Google Ads,314.91,507,7702
2025-02-26,TikTok Ads,170.97,377,8637
2025-02-27,Meta Ads,895.01,1933,38242
2025-02-27,Google Ads,593.42,782,19994
2025-02-27,TikTok Ads,157.51,376,8831
2025-02-28,Meta Ads,1004.89,1962,49600
2025-02-28,Google Ads,469.84,413,14224
2025-02-28,TikTok Ads,150.61,310,6177
2025-03-01,Meta Ads,715.18,1472,24891
2025-03-01,Google Ads,660.01,611,10293
2025-03-01,TikTok Ads,363.22,1197,28871
2025-03-02,Meta Ads,1045.93,2452,55335
2025-03-02,Google Ads,561.93,450,11117
2025-03-02,TikTok Ads,430.64,1251,20723
2025-03-03,Meta Ads,890.6,1671,50612
2025-03-03,Google Ads,551.18,551,12302
2025-03-03,TikTok Ads,340.72,929,18413
2025-03-04,Meta Ads,529.12,1267,28523
2025-03-04,Google Ads,370.06,329,5216
2025-03-04,TikTok Ads,372.66,969,29617
2025-03-05,Meta Ads,653.14,1628,37847
2025-03-05,Google Ads,644.72,1085,16717
2025-03-05,TikTok Ads,164.33,473,8472
2025-03-06,Meta Ads,791.3,1662,40407
2025-03-06,Google Ads,502.28,408,14184
2025-03-06,TikTok Ads,256.19,569,10654
2025-03-07,Meta Ads,538.16,986,17723
2025-03-07,Google Ads,383.89,431,12288
2025-03-07,TikTok Ads,204.77,672,14451
2025-03-08,Meta Ads,903.02,1435,42568
2025-03-08,Google Ads,328.24,299,9182
2025-03-08,TikTok Ads,234.38,924,17998
2025-03-09,Meta Ads,859.19,1420,43815
2025-03-09,Google Ads,623.88,643,17216
2025-03-09,TikTok Ads,223.26,732,11549
2025-03-10,Meta Ads,680.84,1483,47536
2025-03-10,Google Ads,504.12,890,15528
2025-03-10,TikTok Ads,255.08,689,14637
2025-03-11,Meta Ads,1081.42,2048,52445
2025-03-11,Google Ads,307.9,420,7085
2025-03-11,TikTok Ads,350.94,1361,24769
2025-03-12,Meta Ads,1149.88,1880,33175
2025-03-12,Google Ads,659.98,950,23810
2025-03-12,TikTok Ads,195.18,444,9374
2025-03-13,Meta Ads,989.48,2136,71736
2025-03-13,Google Ads,597.05,766,26454
2025-03-13,TikTok Ads,293.87,1053,26171
2025-03-14,Meta Ads,656.85,887,25402
2025-03-14,Google Ads,692.37,657,13688
2025-03-14,TikTok Ads,227.63,615,19673
2025-03-15,Meta Ads,867.63,1586,48145
2025-03-15,Google Ads,515.89,638,19570
2025-03-15,TikTok Ads,261.84,546,15877
2025-03-16,Meta Ads,820.12,1258,43910
2025-03-16,Google Ads,551.7,961,32728
2025-03-16,TikTok Ads,274.61,738,22886
2025-03-17,Meta Ads,1104.87,1899,48107
2025-03-17,Google Ads,322.91,391,13220
2025-03-17,TikTok Ads,165.97,458,11896
2025-03-18,Meta Ads,728.76,1154,19580
2025-03-18,Google Ads,453.54,623,16874
