order_id,customer_id,order_date,gross_revenue,cogs,shipping_cost,acquisition_channel,status
ORD_10000,CUST_1308,2025-01-05 14:31:00,104.83,33.55,5.17,Organic Search,Completed
ORD_10001,CUST_1697,2025-02-21 00:16:00,78.74,25.2,5.05,Google Ads,Completed
ORD_10002,CUST_1370,2025-06-04 15:31:00,75.22,24.07,9.11,Organic Search,Completed
ORD_10003,CUST_1714,2025-04-30 18:53:00,75.22,24.07,8.26,Meta Ads,Completed
ORD_10004,CUST_1504,2025-05-16 12:09:00,161.59,51.71,7.45,Organic Search,Completed
ORD_10005,CUST_1895,2025-03-07 21:38:00,117.51,37.6,8.35,Google Ads,Completed
ORD_10006,CUST_1045,2025-03-02 10:39:00,67.04,21.45,6.64,Meta Ads,Completed
ORD_10007,CUST_1159,2025-04-28 08:23:00,106.91,34.21,8.29,Meta Ads,Completed
ORD_10008,CUST_2237,2025-03-06 03:25:00,93.76,30.0,6.36,Meta Ads,Completed
ORD_10009,CUST_1895,2025-04-02 00:50:00,29.41,9.41,5.72,Meta Ads,Completed
ORD_10010,CUST_1026,2025-06-16 22:16:00,50.45,16.14,8.15,TikTok Ads,Completed
ORD_10011,CUST_2270,2025-05-09 04:05:00,96.82,30.98,6.6,Meta Ads,Completed
ORD_10012,CUST_1634,2025-02-09 18:15:00,154.85,49.55,9.41,Email Retention,Completed
ORD_10013,CUST_1427,2025-04-14 22:05:00,75.52,24.17,6.25,Google Ads,Completed
ORD_10014,CUST_2328,2025-02-17 14:41:00,64.56,20.66,9.11,Meta Ads,Completed
ORD_10015,CUST_1556,2025-05-31 14:38:00,88.39,28.28,9.16,Google Ads,Completed
ORD_10016,CUST_1335,2025-04-06 14:54:00,62.74,20.08,5.71,Meta Ads,Completed
ORD_10017,CUST_1590,2025-04-30 16:18:00,73.16,23.41,8.49,Organic Search,Completed
ORD_10018,CUST_1569,2025-04-03 03:13:00,83.48,26.71,6.67,TikTok Ads,Completed
ORD_10019,CUST_1699,2025-01-14 21:46:00,49.22,15.75,9.09,Google Ads,Completed
ORD_10020,CUST_1200,2025-02-25 14:28:00,120.22,38.47,6.75,Meta Ads,Completed
ORD_10021,CUST_1018,2025-06-14 04:11:00,44.91,14.37,8.22,Google Ads,Completed
ORD_10022,CUST_1832,2025-02-13 01:24:00,42.22,13.51,6.83,Organic Search,Refunded
ORD_10023,CUST_2288,2025-02-24 16:14:00,91.89,29.4,5.64,Meta Ads,Completed
ORD_10024,CUST_2474,2025-04-03 10:12:00,116.11,37.16,5.5,TikTok Ads,Completed
ORD_10025,CUST_1177,2025-06-05 13:21:00,90.84,29.07,6.63,TikTok Ads,Completed
ORD_10026,CUST_2397,2025-03-06 09:44:00,79.58,25.47,8.28,Google Ads,Completed
ORD_10027,CUST_2068,2025-05-11 16:55:00,72.83,23.31,7.53,Google Ads,Completed
ORD_10028,CUST_1468,2025-02-12 17:49:00,67.33,21.55,7.94,Google Ads,Completed
ORD_10029,CUST_1043,2025-05-27 02:25:00,132.18,42.3,5.91,Meta Ads,Completed
ORD_10030,CUST_1477,2025-03-02 18:25:00,97.24,31.12,6.91,Google Ads,Completed
ORD_10031,CUST_2273,2025-01-12 06:58:00,69.9,22.37,4.72,Email Retention,Completed
ORD_10032,CUST_2079,2025-06-03 08:36:00,60.33,19.31,8.59,Email Retention,Completed
ORD_10033,CUST_1757,2025-01-27 08:48:00,110.1,35.23,9.45,TikTok Ads,Completed
ORD_10034,CUST_1598,2025-03-30 20:37:00,130.81,41.86,6.53,Meta Ads,Completed
ORD_10035,CUST_2494,2025-04-06 21:28:00,125.67,40.21,4.55,Meta Ads,Completed
ORD_10036,CUST_1139,2025-01-27 20:26:00,55.41,17.73,5.35,Organic Search,Completed
ORD_10037,CUST_1873,2025-04-02 00:27:00,72.54,23.21,7.76,Meta Ads,Completed
ORD_10038,CUST_1550,2025-01-30 18:01:00,66.71,21.35,7.56,Meta Ads,Refunded
ORD_10039,CUST_2302,2025-03-25 13:44:00,76.99,24.64,8.44,Organic Search,Completed
ORD_10040,CUST_1313,2025-01-09 22:00:00,119.72,38.31,5.77,Meta Ads,Completed
ORD_10041,CUST_2040,2025-05-19 06:18:00,148.54,47.53,8.32,Meta Ads,Completed
ORD_10042,CUST_1888,2025-01-04 07:08:00,98.86,31.64,7.94,Meta Ads,Completed
ORD_10043,CUST_1411,2025-06-24 08:38:00,61.33,19.63,6.11,Organic Search,Completed
ORD_10044,CUST_1480,2025-06-14 01:17:00,82.61,26.44,7.23,Meta Ads,Completed
ORD_10045,CUST_1941,2025-01-17 12:46:00,160.71,51.43,5.24,Organic Search,Completed
ORD_10046,CUST_1374,2025-05-16 02:33:00,87.43,27.98,6.76,Organic Search,Completed
ORD_10047,CUST_1749,2025-02-08 10:16:00,72.9,23.33,8.91,Meta Ads,Completed
ORD_10048,CUST_1432,2025-06-30 16:34:00,75.74,24.24,6.61,TikTok Ads,Completed
ORD_10049,CUST_2349,2025-05-29 17:21:00,98.67,31.57,8.7,Meta Ads,Completed
ORD_10050,CUST_2110,2025-01-23 09:32:00,56.32,18.02,7.45,Google Ads,Completed
ORD_10051,CUST_1843,2025-04-28 10:13:00,65.96,21.11,5.46,Meta Ads,Completed
ORD_10052,CUST_1025,2025-03-21 21:58:00,124.86,39.96,7.41,Organic Search,Completed
ORD_10053,CUST_1907,2025-02-25 11:05:00,97.44,31.18,7.03,Google Ads,Refunded
